recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,LCS-Puro,10,10,0.0013650768460337968,0.005303590956111709,0.0037039215998657575,0.015622065850326335,0.0506358964096438,0.055390421780571256,0.04548302406130492,0.06948255066513351
Dominance,LCS-Puro,10,0,8.361139186447403E-4,0.00208344098446991,0.0018123782964983483,0.00829235522425115,0.03526226159273413,0.020508369425755624,0.027995792054586372,0.015680815112831585
Dominance,LCS-Puro,15,2,0.001295569566042007,0.0012347045494429747,0.0014742514035330316,0.009686793431157244,0.002575575781459539,0.006898908991487803,0.001230115736308597,0.007374985278490592
Dominance,LCS-Puro,15,5,0.002254824668934101,0.0028328570058397317,0.003190439662871779,0.014492397833189884,0.014665281767613128,0.01149829149852253,0.014643110378234927,0.022789611183779625
Dominance,LCS-Puro,15,7,0.0023991930221756463,0.010082151728174098,0.0038692020759231566,0.01595933988459215,0.02740474530361309,0.01710386659567814,0.023321602455136165,0.03169309320609338
Dominance,LCS-Puro,15,10,0.004148974299515979,0.012898965559239018,0.004612579373799269,0.02357167649624818,0.04205519355179307,0.030680382200052186,0.03204313421150404,0.05694883313935894
Dominance,LCS-Puro,15,0,0.0017657526163026012,0.002404475499707341,0.003246211479422566,0.0031663758705378514,0.00807614537585957,0.012188848185901748,0.01798718744460838,0.029684873820650888
Dominance,LCS-Puro,20,2,0.001295569566042007,4.147088721366919E-4,4.6691463406205126E-4,0.006309748321596622,3.1919014089299097E-4,0.0024357752307913893,0.02020097862558956,0.007700996489690223
Dominance,LCS-Puro,20,5,0.0013831749572648482,0.0019184411335393138,0.0017247178056021193,0.009564641395536505,0.0059058121952688825,0.01449604832433292,0.0220867226825176,0.018938449420978595
Dominance,LCS-Puro,20,7,0.0017470223853526673,0.004376567011700993,0.00455236152700747,0.011130261955674412,0.01448362024681175,0.030637633927867784,0.028254372001148942,0.026769198257685062
Dominance,LCS-Puro,20,10,0.0019160532630449621,0.00634995556770479,0.006564350590893791,0.019310946508793673,0.029627135701468195,0.03801296426399117,0.03674303475596751,0.05483138341940628
Dominance,LCS-Puro,20,0,0.0017674007739765397,0.0023676156553727808,0.004556519176826406,0.0046375802004587265,0.012283732819524908,0.012083173487264722,0.02982871875676947,0.01863348557767478
Dominance,LCS-Puro,25,2,0.001295569566042007,3.4450023176519885E-4,8.208348250177189E-4,0.007013793380480391,7.139269829982541E-4,7.658791357965924E-4,0.0015916494637530727,0.009602403094573754
Dominance,LCS-Puro,25,5,0.0013831749572648482,0.001578937232516117,0.001904175905672495,0.010433522374959833,0.0026822797410028985,0.010677728615380981,0.009456985341492334,0.02338103299459698
Dominance,LCS-Puro,25,7,0.0016034171647770568,0.004148109132045159,0.010597731229966486,0.011889806673320093,0.019333572363460828,0.03204998032936647,0.010970363746646485,0.04331084549380078
Dominance,LCS-Puro,25,10,0.0017909119388860042,0.007186674189024911,0.012538256243064,0.027349496341348346,0.032789635877766496,0.042766546758237114,0.016003684444849543,0.07738548891861702
Dominance,LCS-Puro,25,0,0.001700894449941182,0.00547847179614553,0.010230238345024314,0.013679137693756479,0.025459249211218095,0.026068063901338374,0.014470584615473616,0.026481276742780675
Dominance,LCS-Puro,30,2,0.0012833333333333334,8.450226292673666E-4,0.001139630824831624,0.00435778398204748,0.0012509228219616882,0.0015269141434069427,0.0010205239150349009,0.009471704034443857
Dominance,LCS-Puro,30,5,0.0039113661097240895,0.0026184497589135615,0.002591946652686002,0.005961043447928983,0.004543813343012615,0.020833154046033225,0.008273170460635063,0.01629410497823415
Dominance,LCS-Puro,30,7,0.0040639432365794,0.015075468689146776,0.010989687609955579,0.010149214552907466,0.019534544500317535,0.04789708600574581,0.038624437598261105,0.0944694381191627
Dominance,LCS-Puro,30,10,0.016107242711193008,0.017167637666020724,0.014074353921282978,0.015454024738600181,0.03110439696592356,0.0545520862329312,0.046489630553011065,0.11577068909086402
Dominance,LCS-Puro,30,0,0.001687878682890206,0.0034265500619591925,0.003681654236666133,0.010023211235858651,0.017621259882711838,0.031044657366826996,0.03811838756173997,0.01371025576894114
