recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
LCS-B,User-based,10,2,0.0031613372093023256,2.0374898125509371E-4,0.0,0.0033650861905574194
LCS-B,User-based,10,5,0.006534368689724396,2.0374898125509371E-4,5.336234992654523E-5,0.0067914800209060355
LCS-B,User-based,10,7,0.008543297261152966,3.1088151010857847E-4,6.256572085838618E-4,0.009479835979845407
LCS-B,User-based,10,10,0.009367493167585717,0.0023483713226595156,0.0020089042242839718,0.013724768714529205
LCS-B,User-based,10,0,0.006696854441309285,2.6982973193242143E-4,7.005553948231561E-4,0.007667239568064863
LCS-B,User-based,15,2,0.004493856837606837,0.0,0.0,0.004493856837606837
LCS-B,User-based,15,5,0.006397265928515927,6.927465362673187E-4,0.001642155762028228,0.008732168226811474
LCS-B,User-based,15,7,0.006518565270621192,8.964955175224125E-4,0.001642155762028228,0.009057216550171832
LCS-B,User-based,15,10,0.01085822300871643,0.002327996424534006,0.0017656396132032688,0.014951859046453705
LCS-B,User-based,15,0,0.005561829735293145,0.0010136511817440913,0.0010585565580681537,0.00763403747510539
LCS-B,User-based,20,2,2.403846153846154E-4,0.0,0.0,2.403846153846154E-4
LCS-B,User-based,20,5,0.006397265928515927,0.001100244498777506,7.908724931100334E-5,0.007576597676604437
LCS-B,User-based,20,7,0.006479502770621192,0.001100244498777506,0.0012128740973835657,0.008792621366782263
LCS-B,User-based,20,10,0.009556139675383097,0.001779441475001062,0.0016380441654107766,0.012973625315794936
LCS-B,User-based,20,0,0.00461594741391253,0.001100244498777506,5.31334860307978E-5,0.005769325398720833
LCS-B,User-based,25,2,1.480800653594771E-4,0.0,0.0,1.480800653594771E-4
LCS-B,User-based,25,5,0.004940321814838068,0.003137734311328443,4.961184800317516E-5,0.008127667974169686
LCS-B,User-based,25,7,0.008377821814838069,0.003137734311328443,9.886260131226897E-5,0.011614418727478782
LCS-B,User-based,25,10,0.008441597325042152,0.003137734311328443,0.0012326494493848314,0.012811981085755427
LCS-B,User-based,25,0,0.004830250964635639,2.1419764696048313E-4,4.628494634297318E-4,0.0055072980750258535
LCS-B,User-based,30,2,1.480800653594771E-4,0.0,0.0,1.480800653594771E-4
LCS-B,User-based,30,5,0.003870246057262311,7.566112321106747E-4,0.0,0.0046268572893729855
LCS-B,User-based,30,7,0.003909308557262311,0.003216507469214855,4.9250753309093806E-5,0.00717506677978626
LCS-B,User-based,30,10,0.007553813234133058,0.003221765507440793,7.908724931100334E-5,0.010854665990884855
LCS-B,User-based,30,0,0.002148125126642823,7.88534076984506E-4,5.265264000336977E-5,0.0029893118436306984
LCS-B,User-based,40,2,1.480800653594771E-4,0.0,3.0642887785744925E-5,1.7872295314522204E-4
LCS-B,User-based,40,5,7.452460572623112E-4,0.003061885420025449,3.0642887785744925E-5,0.0038377743650735057
LCS-B,User-based,40,7,0.005558614112817867,0.003061885420025449,6.667494033449906E-5,0.008687174473177815
