recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,LCS-Ponderado,60,0,0.0026432582398646987,0.001429392830466487,2.204585537918871E-5,3.147521954589947E-4,1.2497578132048375E-4,0.004534424902489852
Dominance,LCS-Ponderado,8,2,9.92063492063492E-4,8.960573476702509E-4,9.763164525069287E-5,0.002838059031627858,0.0,0.004823811516612294
Dominance,LCS-Ponderado,8,5,9.92063492063492E-4,0.0013586956521739128,0.001796459324470529,0.002871878713179424,0.0010460251046025104,0.008065122286489868
Dominance,LCS-Ponderado,8,7,0.001286008230452675,0.0014707028206326941,0.001796459324470529,0.0029169978297592385,0.0013000597728631202,0.008770227978178256
Dominance,LCS-Ponderado,8,10,0.0031391829779028046,0.0018501046572091694,0.002237376432054303,0.0032701051743920066,0.0013134275058292865,0.01181019674738757
Dominance,LCS-Ponderado,8,0,0.0015716071782248253,1.845435158415765E-4,0.0018764913372756509,4.428571676334663E-4,2.559888198354846E-4,0.004331488018811004
Dominance,LCS-Puro,10,2,0.00496031746031746,3.682427456179113E-5,9.763164525069287E-5,1.3200274565710966E-5,0.0,0.005107973654695655
Dominance,LCS-Puro,10,5,0.006352903017315908,1.22131083522902E-4,9.794658604182413E-4,1.1591895019196353E-4,3.401707657243937E-5,0.007604435988021455
Dominance,LCS-Puro,10,7,0.007066768810546782,3.194450609427942E-4,9.794658604182413E-4,4.046431337571714E-4,3.401707657243937E-5,0.008804339942237428
Dominance,LCS-Puro,10,10,0.009480593418980941,4.269719426632243E-4,9.794658604182413E-4,5.258116653196637E-4,4.917686069711343E-5,0.011462019748079182
Dominance,LCS-Puro,10,0,0.0023275977057489665,1.1474230479398688E-4,0.0012228450045066053,3.738252370098974E-4,1.1428738947096096E-4,0.004153297641530418
Dominance,LCS-Puro,15,2,0.003968253968253968,0.0,1.452042805426264E-4,1.3200274565710966E-5,0.0010460251046025104,0.005172683627964816
Dominance,LCS-Puro,15,5,0.004446584934527238,1.1200716845878136E-4,0.0011072052425435883,5.266967363140132E-5,0.0012579008279177423,0.006976367847078752
Dominance,LCS-Puro,15,7,0.0055553617785982,1.1200716845878136E-4,0.0011072052425435883,9.968962974867834E-5,0.0012919179044901816,0.008166181723839431
Dominance,LCS-Puro,15,10,0.008280977770252313,2.5849306529530935E-4,0.002549984000137161,1.6604276813571504E-4,0.0012919179044901816,0.012547415508310681
Dominance,LCS-Puro,15,0,9.92063492063492E-4,3.5449920968855047E-4,2.882044235427694E-4,4.11691731504847E-5,8.72047991734023E-5,0.001763141097618699
